,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move
69,1,0,0,0,0,0,0,0,0,1
70,1,2,0,0,0,0,0,0,0,6
71,1,2,0,0,0,0,1,0,0,3
72,1,2,0,2,0,0,1,0,0,4
73,1,2,0,2,1,0,1,0,0,2
74,1,2,2,2,1,0,1,0,0,8
75,2,2,1,2,1,1,0,1,2,6
76,2,1,1,1,2,2,0,0,1,6
77,2,1,1,1,2,2,2,0,1,7
78,2,2,1,1,2,1,1,0,2,7
79,1,1,2,2,1,2,0,0,1,7
80,1,1,2,2,1,2,0,0,1,6
81,1,1,2,2,1,2,0,0,1,6
82,0,2,0,0,1,0,0,1,0,5
83,1,2,0,0,1,2,0,1,0,2
84,2,2,1,1,2,1,0,2,1,6
85,1,0,0,1,0,0,0,2,2,5
86,1,0,0,1,0,1,0,2,2,6
87,1,0,1,1,2,1,2,2,2,1
88,2,1,1,1,2,2,0,2,1,6
89,2,2,1,2,1,1,0,1,2,6
90,2,1,0,1,1,2,0,0,0,6
91,2,1,0,1,1,2,2,0,0,7
92,0,0,0,2,0,1,1,0,0,7
93,0,1,2,2,2,1,1,2,1,0
94,0,1,0,0,0,2,1,0,0,3
95,0,1,0,2,0,2,1,0,0,7
96,0,1,2,2,1,2,1,1,2,0
97,1,2,1,1,2,2,1,0,2,7
98,1,2,1,2,2,2,1,0,1,7
99,0,1,0,0,1,0,0,2,0,2
100,1,0,2,0,0,1,0,0,0,1
101,1,2,2,1,2,1,0,0,1,6
102,0,2,1,2,1,1,0,0,2,6
103,2,2,1,2,1,1,1,0,2,7
104,0,0,2,0,0,0,0,1,1,5
105,0,0,0,2,1,1,2,0,0,8
106,1,0,2,2,1,1,2,0,1,7
107,0,0,0,0,1,0,1,2,0,8
108,0,0,1,0,1,0,1,2,2,1
109,0,2,1,2,1,1,1,2,2,0
110,1,2,0,0,0,2,0,1,0,6
111,1,2,0,0,2,2,1,1,0,3
112,2,1,1,2,1,2,0,0,1,6
113,1,1,2,2,1,1,0,2,2,6
114,0,0,0,0,1,0,0,2,0,6
115,0,0,0,0,1,0,1,2,0,8
116,0,0,1,0,1,0,1,2,2,5
117,0,1,1,2,1,2,1,2,2,0
118,0,0,2,0,0,0,0,1,1,5
119,1,1,2,1,1,2,0,0,2,7
120,0,0,0,0,2,0,0,1,0,5
121,0,0,0,0,1,2,1,0,0,7
122,2,1,0,0,1,2,1,2,0,8
123,2,1,0,1,0,0,0,0,2,7
124,2,1,0,1,0,0,0,1,2,6
125,0,0,0,0,0,2,1,0,0,7
126,2,1,0,0,0,2,1,1,0,2
127,2,1,0,0,0,0,0,1,0,4
128,2,1,0,0,2,0,0,1,0,3
129,1,1,0,2,1,2,0,0,0,7
130,0,1,1,2,2,2,1,2,1,0
131,0,2,2,2,1,1,1,2,1,0
132,0,0,0,0,1,2,1,0,0,7
133,2,2,1,1,2,1,0,2,1,6
134,0,0,2,2,1,1,2,0,1,0
135,1,0,2,2,1,1,2,0,1,7
136,1,0,2,2,1,1,2,2,1,1
137,1,0,1,2,2,1,2,2,1,1
138,2,1,0,1,2,1,0,0,0,7
139,2,1,1,1,2,1,0,2,2,6
140,2,1,1,2,2,2,1,0,1,7
141,0,2,1,2,1,1,2,2,1,0
142,0,1,2,1,1,2,2,2,1,0
143,1,0,1,2,2,1,2,1,2,1
144,1,1,2,1,1,2,0,0,2,7
145,0,2,1,0,0,0,0,2,1,5
146,0,2,1,2,2,1,1,2,1,0
147,0,0,0,1,1,2,0,2,1,6
148,0,2,1,1,1,2,2,2,1,0
149,0,0,0,0,1,0,2,1,0,0
150,2,1,0,0,1,0,2,1,0,2
151,0,0,2,2,1,1,2,0,1,0
152,1,0,2,2,1,1,2,0,1,7
153,0,2,2,1,1,1,1,2,2,0
154,0,0,1,0,0,0,1,2,2,5
155,2,1,2,2,1,1,0,0,1,7
156,0,1,0,0,0,2,1,0,0,3
157,0,1,0,2,0,2,1,0,0,7
158,2,0,0,1,0,0,0,1,2,1
159,2,1,0,1,0,0,0,1,2,5
160,2,1,0,1,0,2,0,1,2,2
161,2,2,1,2,1,1,0,1,2,6
162,2,1,0,1,1,2,0,0,0,6
163,2,1,0,1,1,2,2,0,0,8
164,2,1,2,1,1,2,2,0,1,7
165,0,0,0,1,2,1,2,0,0,2
166,1,2,1,1,2,1,2,0,2,7
167,1,0,1,0,0,2,0,0,0,1
168,1,2,1,2,1,2,2,0,1,7
169,0,0,0,0,2,0,1,1,0,0
170,2,1,0,0,2,0,1,1,0,8
171,1,1,1,2,1,2,0,0,2,7
172,1,2,0,0,0,0,2,1,0,3
173,1,1,0,2,0,0,0,1,2,6
174,0,0,2,1,2,1,2,0,1,7
175,1,2,2,1,2,1,0,0,1,6
176,1,1,2,2,1,2,0,0,1,6
177,0,0,0,0,1,2,1,0,0,1
178,0,2,0,0,1,2,1,0,0,0
179,1,2,2,1,1,2,1,0,2,7
180,0,0,0,2,1,1,2,0,0,7
181,0,0,0,2,1,1,2,1,0,0
182,1,2,1,1,1,2,2,0,2,7
183,1,1,2,1,1,2,0,0,2,6
184,0,0,0,0,1,0,0,2,0,1
185,0,1,0,0,1,0,0,2,0,8
186,0,1,1,1,1,2,2,2,2,0
187,1,1,0,2,1,2,0,0,0,6
188,1,1,0,2,1,2,2,0,0,8
189,0,2,0,1,1,2,1,0,0,8
190,0,2,1,1,1,2,1,0,2,0
191,2,2,1,1,1,2,1,0,2,7
192,1,0,2,0,1,1,0,2,0,6
193,2,2,1,1,1,2,1,0,2,7
194,0,2,2,0,1,0,0,1,1,3
195,0,2,2,2,1,1,2,1,1,0
196,0,2,1,2,1,1,2,2,1,0
197,2,1,1,2,1,2,0,0,1,7
198,2,1,1,2,1,2,0,2,1,6
199,2,1,0,1,1,2,0,0,0,6
200,2,1,0,1,1,2,2,0,0,7
201,0,2,1,2,1,2,1,0,1,7
202,0,2,1,2,1,2,1,2,1,0
203,0,0,2,2,1,1,2,0,1,0
204,1,0,2,2,1,1,2,0,1,7
205,1,0,2,2,1,1,2,2,1,1
206,2,2,1,2,1,1,0,1,2,6
207,1,1,2,1,1,2,0,0,2,7
208,0,1,2,2,1,2,2,1,1,0
209,0,0,1,2,1,1,2,0,2,1
210,0,1,1,2,1,1,2,2,2,0
211,2,2,1,2,1,1,0,1,2,6
212,2,1,2,2,1,1,0,1,2,6
213,2,1,1,1,1,2,2,0,2,7
214,1,2,2,2,1,1,1,0,2,7
215,0,1,2,2,1,1,2,1,2,0
216,1,2,2,2,1,1,0,1,2,6
217,1,1,2,2,1,2,0,0,1,7
218,0,0,0,2,1,1,2,0,0,2
219,1,2,1,2,1,1,2,0,2,7
220,2,2,0,0,1,0,0,1,0,5
221,2,2,0,0,1,1,0,1,0,2
222,2,1,1,2,1,2,0,0,1,7
223,2,1,1,2,1,2,0,2,1,6
224,0,0,0,2,1,2,1,0,0,7
225,0,0,2,0,1,0,0,2,1,0
226,1,0,2,2,1,1,2,2,1,1
227,0,1,1,2,1,2,1,2,2,0
228,0,0,0,1,1,2,2,0,0,2
229,0,1,1,1,1,2,2,2,2,0
230,0,1,1,1,1,2,2,2,2,0
231,0,2,2,1,1,2,1,2,1,0
232,0,2,0,0,1,0,1,2,0,0
233,0,1,0,2,1,2,1,0,0,7
234,0,1,2,1,1,1,2,2,2,0
235,2,1,2,1,1,1,0,0,2,7
236,2,1,2,1,1,1,0,2,2,6
237,0,1,2,1,1,2,2,2,1,0
238,2,1,0,2,1,1,0,0,0,2
239,2,1,2,2,1,1,0,0,1,7
240,2,1,2,1,1,2,1,0,2,7
241,2,1,1,2,1,2,0,0,1,7
242,2,1,1,2,1,2,0,2,1,6
243,1,2,1,1,1,2,2,0,2,7
244,0,2,0,0,1,2,1,0,0,7
245,2,2,0,0,1,2,1,1,0,8
246,0,2,2,1,1,1,0,0,2,7
247,0,2,2,1,1,1,0,1,2,0
248,2,2,2,1,1,1,0,1,2,6
249,2,2,0,0,1,0,0,1,0,3
250,0,2,1,2,1,1,2,2,1,0
251,0,2,0,1,1,2,1,0,0,0
252,0,1,0,2,1,1,2,0,0,2
253,0,1,1,2,1,2,2,2,1,0
254,0,0,0,0,1,0,1,2,0,3
255,1,1,1,2,1,2,0,0,2,7
256,0,0,0,0,1,2,1,0,0,1
257,0,2,0,0,1,2,1,0,0,3
258,0,2,0,1,1,2,1,0,0,8
259,0,2,1,1,1,2,1,0,2,0
260,2,2,1,1,1,2,1,0,2,7
261,0,1,0,2,1,1,2,0,0,7
262,0,1,2,2,1,1,2,2,1,0
263,0,0,2,0,1,0,0,2,1,1
264,0,1,2,0,1,0,0,2,1,0
265,2,1,2,1,1,2,0,2,1,6
266,2,1,0,0,1,2,1,2,0,2
267,0,1,1,2,1,2,1,2,2,0
268,1,2,1,2,1,2,1,0,2,7
269,0,1,1,2,1,2,1,2,2,0
270,0,1,0,0,1,0,0,2,0,5
271,1,1,2,1,1,2,0,0,2,6
272,0,1,0,2,1,1,2,0,0,7
273,2,2,1,2,1,2,1,0,1,7
274,1,2,1,2,1,1,0,2,2,6
275,0,2,1,2,1,2,1,0,1,0
276,2,2,1,2,1,2,1,0,1,7
277,2,1,2,2,1,1,0,0,1,6
278,2,1,2,1,1,2,1,0,2,7
279,2,1,1,2,1,2,0,0,1,7
280,2,1,1,2,1,2,0,2,1,6
281,2,1,1,2,1,1,0,2,2,6
282,2,1,1,1,1,2,2,0,2,7
283,1,1,2,2,1,1,0,2,2,6
284,0,0,0,1,1,2,2,0,0,2
285,0,1,1,1,1,2,2,2,2,0
286,1,1,2,2,1,2,0,0,1,6
287,2,2,1,2,1,1,0,1,2,6
288,0,2,2,2,1,1,2,1,1,0
289,0,2,1,2,1,1,2,2,1,0
290,0,2,0,0,1,0,0,1,0,6
291,0,2,0,0,1,0,2,1,0,0
292,1,2,0,0,1,0,2,1,0,2
293,2,2,1,2,1,1,1,0,2,7
294,0,2,0,1,1,2,1,0,0,7
295,1,2,1,2,1,1,0,2,2,6
296,0,2,2,1,1,2,1,0,1,0
297,2,2,2,1,1,2,1,0,1,7
298,0,2,0,0,1,2,1,0,0,0
299,1,2,2,1,1,2,1,0,2,7
300,1,2,0,0,1,2,0,1,0,6
301,1,2,0,0,1,2,2,1,0,3
302,2,2,1,1,1,2,0,2,1,6
303,0,2,2,2,1,1,2,1,1,0
304,0,2,2,0,1,0,0,1,1,0
305,2,2,0,0,1,0,0,1,0,8
306,2,2,1,2,1,2,0,1,1,6
307,2,2,1,2,1,1,0,1,2,6
308,0,2,2,1,1,2,1,0,1,0
309,2,2,2,1,1,2,1,0,1,7
310,0,2,0,2,1,1,1,0,0,0
311,0,2,2,1,1,1,0,1,2,0
312,1,2,2,2,1,1,0,1,2,6
313,1,2,2,1,1,1,2,0,2,7
314,0,2,1,2,1,2,1,0,1,0
315,2,2,1,2,1,2,1,0,1,7
316,0,2,1,1,1,2,0,0,2,7
317,0,2,1,1,1,2,0,1,2,6
318,0,2,1,1,1,2,2,1,2,0
319,0,2,2,1,1,2,1,0,1,0
320,1,2,1,1,1,2,2,0,2,7
321,0,2,0,2,1,1,1,0,0,8
322,0,2,1,2,1,1,1,0,2,7
323,0,2,1,2,1,1,1,2,2,0
324,0,2,2,1,1,1,0,0,2,0
325,1,2,2,1,1,1,0,0,2,7
326,1,2,2,1,1,1,0,2,2,6
327,1,2,2,1,1,1,0,0,2,7
328,1,2,2,1,1,1,0,2,2,6
329,0,2,2,1,1,1,1,0,2,7
330,0,2,2,1,1,1,1,2,2,0
331,2,2,1,1,1,1,0,2,2,6
332,2,2,1,2,1,1,0,1,2,6
333,2,2,1,1,1,2,1,0,2,7
334,1,2,2,2,1,2,1,0,1,7
335,2,2,1,2,1,1,0,1,2,6
336,0,2,1,2,1,2,1,0,1,0
337,2,2,1,2,1,2,1,0,1,7
338,1,2,1,1,1,2,2,0,2,7
339,2,2,2,1,1,1,0,0,1,7
340,1,2,1,2,1,2,1,0,2,7
341,1,2,2,2,1,1,0,0,1,6
342,0,2,1,2,1,2,1,0,1,7
343,0,2,1,2,1,2,1,2,1,0
344,0,2,2,0,1,0,0,1,1,3
345,0,2,2,2,1,1,2,1,1,0
346,0,2,0,1,1,2,1,0,0,7
347,0,2,0,0,1,0,2,1,0,8
348,0,2,2,1,1,2,2,1,1,0
349,1,2,0,0,1,0,2,1,0,3
350,0,2,2,2,1,1,1,2,1,0
351,2,2,2,1,1,1,0,0,1,6
352,1,2,2,2,1,1,0,0,1,7
353,0,2,1,2,1,1,1,0,2,0
354,2,2,1,2,1,1,1,0,2,7
355,1,2,1,1,1,2,2,0,2,7
356,1,2,2,1,1,1,2,0,2,7
357,2,2,2,1,1,2,0,1,1,6
358,0,2,1,1,1,2,2,2,1,0
359,2,2,1,2,1,2,0,1,1,6
360,2,2,0,0,1,2,1,1,0,2
361,0,2,2,2,1,1,2,1,1,0
362,0,2,2,2,1,1,1,1,2,0
363,0,2,2,2,1,1,2,1,1,0
364,1,2,1,2,1,1,0,2,2,6
365,1,2,1,2,1,2,1,0,2,7
366,0,2,2,1,1,2,2,1,1,0
367,2,2,1,2,1,1,0,1,2,6
368,0,2,1,2,1,2,1,0,1,0
369,2,2,1,2,1,2,1,0,1,7
370,0,2,0,2,1,1,1,0,0,7
371,0,2,2,1,1,1,0,0,2,6
372,2,2,2,1,1,1,1,0,2,7
373,1,2,2,1,1,1,0,0,2,6
374,1,2,2,1,1,1,2,0,2,7
375,2,2,1,1,1,2,1,0,2,7
376,2,2,2,1,1,1,1,0,2,7
377,0,2,2,2,1,1,1,2,1,0
378,0,2,1,2,1,1,2,2,1,0
379,1,2,2,1,1,1,2,0,2,7
380,1,2,2,2,1,1,0,1,2,6
381,1,2,1,2,1,1,0,2,2,6
382,1,2,2,1,1,1,2,0,2,7
383,1,2,1,1,1,2,2,0,2,7
384,1,2,2,1,1,1,0,0,2,7
385,1,2,2,1,1,1,0,2,2,6
386,1,2,1,2,1,2,2,0,1,7
387,1,2,2,1,1,2,1,0,2,7
388,1,2,1,2,1,1,0,2,2,6
389,1,2,2,1,1,1,2,0,2,7
390,1,2,1,2,1,2,2,0,1,7
391,1,2,2,1,1,1,0,0,2,6
392,1,2,2,1,1,1,2,0,2,7
393,1,2,0,0,1,0,2,1,0,5
394,1,2,0,0,1,2,2,1,0,8
395,1,2,1,2,1,1,0,2,2,6
396,1,2,1,1,1,2,2,0,2,7
397,1,2,2,2,1,1,0,0,1,6
398,1,2,0,0,1,2,0,1,0,8
399,1,2,2,1,1,1,0,0,2,7
400,1,2,2,1,1,1,0,2,2,6
401,1,2,2,2,1,1,0,1,2,6
402,1,2,2,1,1,2,1,0,2,7
403,1,2,1,2,1,1,0,2,2,6
404,1,2,2,1,1,1,2,0,2,7
405,1,2,2,1,1,2,0,0,1,6
406,1,2,2,1,1,2,2,0,1,7
407,1,2,2,1,1,1,0,2,2,6
408,1,2,1,2,1,1,0,2,2,6
409,1,2,2,1,1,2,1,0,2,7
410,1,2,1,2,1,2,2,0,1,7
411,1,2,0,0,1,2,2,1,0,8
412,1,2,2,1,1,1,2,0,2,7
413,1,2,2,1,1,1,0,2,2,6
414,1,2,1,2,1,2,1,0,2,7
415,1,2,1,2,1,2,2,0,1,7
416,1,2,2,2,1,1,1,0,2,7
417,1,2,2,1,1,1,2,0,2,7
418,1,2,1,1,1,2,2,0,2,7
419,1,2,2,1,1,1,0,0,2,6
420,1,2,2,1,1,1,2,0,2,7
421,1,2,1,2,1,2,2,0,1,7
422,1,2,2,1,1,2,1,0,2,7
423,1,2,2,1,1,1,2,0,2,7
424,1,2,1,1,1,2,2,0,2,7
425,1,2,2,2,1,1,1,0,2,7
426,1,2,1,2,1,1,2,0,2,7
427,1,2,2,2,1,1,0,1,2,6
428,1,2,2,1,1,2,2,0,1,7
429,1,2,2,1,1,1,0,0,2,6
430,1,2,2,1,1,1,2,0,2,7
431,1,2,2,2,1,1,0,0,1,7
432,1,2,1,1,1,2,2,0,2,7
433,1,2,1,2,1,2,2,0,1,7
434,1,2,2,1,1,2,1,0,2,7
435,1,2,1,2,1,1,0,2,2,6
436,1,2,2,1,1,1,0,0,2,6
437,1,2,2,1,1,1,2,0,2,7
438,1,2,1,2,1,1,0,2,2,6
439,1,2,1,1,1,2,2,0,2,7
440,1,2,2,1,1,2,1,0,2,7
441,1,2,2,1,1,1,0,0,2,6
442,1,2,2,1,1,1,2,0,2,7
443,1,2,2,1,1,1,0,2,2,6
444,1,2,2,1,1,2,1,0,2,7
445,1,2,1,1,1,2,2,0,2,7
446,1,2,1,2,1,1,0,2,2,6
447,1,2,1,2,1,1,0,2,2,6
448,1,2,2,1,1,1,0,0,2,6
449,1,2,2,1,1,1,2,0,2,7
450,1,2,1,2,1,2,1,0,2,7
451,1,2,2,1,1,1,0,2,2,6
452,1,2,2,2,1,1,1,0,2,7
453,1,2,2,2,1,1,0,1,2,6
454,1,2,2,2,1,1,1,0,2,7
455,1,2,2,2,1,1,0,1,2,6
456,1,2,2,1,1,1,0,0,2,7
457,1,2,2,1,1,1,0,2,2,6
458,1,2,1,1,1,2,2,0,2,7
459,1,2,2,1,1,1,2,0,2,7
460,1,2,1,2,1,1,0,2,2,6
461,1,2,2,1,1,1,0,2,2,6
462,1,2,2,2,1,1,0,1,2,6
463,1,2,1,2,1,1,0,2,2,6
464,1,2,2,1,1,2,1,0,2,7
465,1,2,1,1,1,2,2,0,2,7
466,1,2,1,1,1,2,2,0,2,7
467,1,2,2,2,1,1,0,1,2,6
468,1,2,1,2,1,1,2,0,2,7
469,1,2,1,2,1,2,1,0,2,7
470,1,2,2,2,1,1,1,0,2,7
471,1,2,1,2,1,2,1,0,2,7
472,1,2,2,1,1,2,1,0,2,7
473,1,2,1,2,1,1,2,0,2,7
474,1,2,2,1,1,1,0,0,2,7
475,1,2,2,1,1,1,0,2,2,6
476,1,2,2,2,1,1,1,0,2,7
477,1,2,2,2,1,1,1,0,2,7
478,1,2,1,2,1,1,0,2,2,6
479,1,2,2,1,1,1,2,0,2,7
480,1,2,2,1,1,1,0,2,2,6
481,1,2,2,1,1,2,1,0,2,7
482,1,2,1,2,1,1,2,0,2,7
483,1,2,1,1,1,2,2,0,2,7
484,1,2,1,2,1,2,1,0,2,7
485,1,2,1,1,1,2,2,0,2,7
486,1,2,2,1,1,1,0,2,2,6
487,1,2,1,1,1,2,2,0,2,7
488,1,2,2,1,1,1,0,0,2,6
489,1,2,2,1,1,1,2,0,2,7
490,1,2,2,1,1,1,2,0,2,7
491,1,2,2,1,1,1,0,0,2,6
492,1,2,2,1,1,1,2,0,2,7
493,1,2,1,1,1,2,2,0,2,7
494,1,2,2,1,1,2,1,0,2,7
495,1,2,2,1,1,1,2,0,2,7
496,1,2,2,1,1,2,1,0,2,7
497,1,2,2,1,1,2,1,0,2,7
498,1,2,2,1,1,1,0,2,2,6
499,1,2,2,1,1,1,0,2,2,6
500,1,2,1,1,1,2,2,0,2,7
501,1,2,1,1,1,2,2,0,2,7
502,1,2,2,1,1,1,2,0,2,7
503,1,2,2,1,1,1,2,0,2,7
504,1,2,1,1,1,2,2,0,2,7
505,0,0,0,0,2,0,0,1,0,6
506,0,0,0,0,2,0,1,1,0,0
507,2,1,0,0,2,0,1,1,0,3
508,0,1,2,2,1,1,2,2,1,0
509,0,0,0,0,1,0,0,2,0,6
510,0,0,0,0,1,0,1,2,0,2
511,0,1,2,2,1,2,1,2,1,0
512,2,1,1,1,2,2,0,2,1,6
513,0,2,2,1,1,2,1,0,1,7
514,0,2,2,1,1,2,1,2,1,0
515,2,2,1,1,2,1,0,2,1,6
516,1,0,2,0,0,1,0,0,0,1
517,1,1,2,2,1,2,0,0,1,6
518,0,1,2,2,1,1,2,2,1,0
519,0,0,0,0,0,2,1,0,0,7
520,2,1,0,0,0,2,1,1,0,8
521,1,1,2,2,1,1,0,2,2,6
522,1,0,1,0,0,2,0,0,0,1
523,1,2,1,2,1,2,2,0,1,7
524,0,0,0,0,1,0,1,2,0,5
525,1,0,2,0,1,2,1,2,0,8
526,1,1,0,2,1,2,0,0,0,8
527,1,1,1,2,1,2,0,0,2,7
528,1,2,0,0,2,0,0,1,0,6
529,1,2,0,0,2,0,1,1,0,3
530,0,2,0,0,2,0,1,1,0,5
531,1,0,1,0,0,2,0,0,0,1
532,1,2,1,2,1,2,2,0,1,7
533,0,0,0,1,0,2,1,0,0,7
534,0,1,0,0,1,0,0,2,0,8
535,0,1,1,1,1,2,2,2,2,0
536,0,0,0,2,1,1,2,0,0,1
537,0,1,0,2,1,1,2,0,0,0
538,2,1,0,2,1,1,2,0,0,8
539,0,0,2,1,2,1,2,0,1,1
540,0,1,2,1,2,1,2,2,1,0
541,0,2,0,0,1,0,0,1,0,0
542,2,2,1,2,1,2,0,1,1,6
543,0,1,2,2,1,1,2,2,1,0
544,2,1,0,0,0,0,0,1,0,3
545,2,1,2,2,1,1,0,1,2,6
546,2,0,0,1,0,0,0,1,2,5
547,2,0,0,1,0,1,0,1,2,2
548,2,2,1,2,1,2,0,1,1,6
549,0,0,0,0,1,0,0,2,0,2
550,1,2,0,0,0,2,1,1,0,4
551,1,2,0,0,2,2,1,1,0,2
552,1,0,1,2,2,1,2,1,2,1
553,0,1,0,0,0,2,1,0,0,8
554,2,1,1,2,1,2,1,0,2,7
555,2,1,1,2,1,2,0,0,1,6
556,2,1,1,2,1,2,2,0,1,7
557,1,0,1,2,2,1,1,0,2,7
558,1,0,1,2,2,1,1,2,2,1
559,2,2,1,2,1,1,0,1,2,6
560,2,2,1,2,1,2,1,0,1,7
561,2,2,1,1,2,1,0,2,1,6
562,0,0,1,0,0,0,0,2,1,6
563,0,1,1,1,2,2,2,2,1,0
564,1,0,0,1,0,0,0,2,2,2
565,0,0,0,0,1,2,1,0,0,0
566,2,0,1,0,1,2,1,2,0,1
567,0,2,1,1,2,2,0,1,1,0
568,2,2,1,1,2,2,0,1,1,6
569,1,0,2,2,1,1,1,0,2,1
570,1,2,2,2,1,1,1,0,2,7
571,1,1,0,2,1,2,0,0,0,8
572,1,1,1,2,1,2,0,0,2,7
573,0,0,2,0,0,0,0,1,1,4
574,0,0,2,0,2,0,1,1,1,3
575,0,1,2,2,2,2,1,1,1,0
576,2,1,0,1,1,2,0,0,0,6
577,2,1,0,1,1,2,2,0,0,7
578,1,2,1,1,2,1,2,0,2,7
579,2,1,0,1,0,0,0,0,2,2
580,2,1,1,1,1,2,0,0,2,7
581,2,1,1,1,1,2,0,2,2,6
582,2,2,1,1,1,1,2,0,2,7
583,1,2,1,2,1,2,2,0,1,7
584,2,1,2,1,1,2,0,1,2,6
585,0,1,2,2,2,2,1,1,1,0
586,0,0,0,0,1,0,2,1,0,3
587,0,0,0,2,1,1,2,1,0,0
588,1,0,2,0,0,1,0,2,0,4
589,1,0,2,0,1,1,0,2,0,8
590,1,0,2,1,1,1,2,2,2,1
591,2,2,1,2,1,2,0,1,1,6
592,1,0,2,0,0,1,0,0,0,4
593,1,2,2,1,2,1,0,0,1,7
594,1,2,2,1,2,1,0,2,1,6
595,1,2,1,1,2,1,2,0,2,7
596,0,0,0,2,0,1,1,0,0,0
597,0,0,2,2,1,1,2,0,1,7
598,0,0,2,2,1,1,2,1,1,1
599,0,2,2,2,1,1,2,1,1,0
600,1,2,2,1,2,1,0,0,1,7
601,1,2,2,1,2,1,0,2,1,6
602,2,1,1,2,1,2,0,0,1,6
603,2,1,1,2,1,2,2,0,1,7
604,1,1,0,2,0,0,0,0,2,5
605,1,1,0,2,0,1,0,0,2,7
606,1,1,0,2,0,1,0,2,2,2
607,1,0,1,0,0,2,0,0,0,4
608,1,1,1,2,2,2,0,0,1,7
609,1,1,1,2,2,2,0,0,1,6
610,0,2,0,1,1,2,1,0,0,0
611,0,2,2,1,1,1,1,0,2,0
612,2,2,2,1,1,1,1,0,2,7
613,1,0,0,1,0,0,0,2,2,2
614,1,0,1,1,2,1,2,2,2,1
615,1,0,1,0,0,2,0,0,0,7
616,1,0,1,0,0,2,0,2,0,3
617,1,2,2,1,2,1,0,0,1,7
618,1,2,2,1,2,1,0,2,1,6
619,1,0,0,1,2,2,0,2,1,1
620,1,1,2,1,2,2,0,2,1,6
621,1,0,2,0,0,1,0,2,0,6
622,1,0,2,0,0,1,1,2,0,3
623,1,2,0,0,2,0,0,1,0,6
624,1,2,0,0,2,0,1,1,0,2
625,1,0,1,0,0,2,0,0,0,3
626,1,2,1,2,1,2,1,0,2,7
627,1,1,2,2,1,2,0,0,1,6
628,1,1,1,2,2,2,0,0,1,6
629,1,1,0,2,1,2,0,0,0,7
630,1,2,2,2,1,1,0,1,2,6
